time,mag,intensidad_max,latitud,longitud,profundidad
2023-05-05 16:41:00,3.0,1,37.5,137.3,10
2023-05-05 16:40:00,6.5,0,3732.3,13718.2,12
2023-05-05 16:26:00,3.4,1,37.5,137.3,0
2023-05-05 16:13:00,3.7,2,37.5,137.3,10
2023-05-05 16:09:00,3.0,1,37.5,137.2,10
2023-05-05 16:02:00,2.5,1,37.5,137.4,10
2023-05-05 15:51:00,3.0,1,37.5,137.3,10
2023-05-05 15:43:00,3.3,2,37.5,137.3,10
2023-05-05 15:35:00,2.4,1,37.6,137.4,10
2023-05-05 15:32:00,3.2,1,37.5,137.0,10
2023-05-05 15:30:00,2.6,1,37.5,137.3,10
2023-05-05 15:17:00,3.6,2,37.5,137.3,10
2023-05-05 15:09:00,3.9,2,37.6,137.3,10
2023-05-05 15:01:00,3.6,2,37.6,137.3,10
2023-05-05 14:57:00,4.7,4,37.5,137.2,10
2023-05-05 14:54:00,3.8,1,37.5,137.3,10
2023-05-05 14:52:00,4.0,3,37.5,137.3,10
2023-05-05 14:46:00,6.3,6,37.5,137.3,10
2023-05-05 14:45:00,6.3,0,37.5,137.3,10
2023-05-05 13:50:00,3.3,1,36.8,140.6,10
2023-05-05 11:27:00,2.4,1,34.1,135.4,10
2023-05-04 23:04:00,3.8,1,37.3,137.8,20
2023-05-04 19:54:00,2.6,1,34.2,135.3,0
2023-05-03 05:38:00,4.1,2,36.6,141.0,40
2023-05-03 04:30:00,2.2,1,29.9,130.0,10
2023-05-03 01:15:00,2.3,1,37.1,139.4,10
2023-05-02 12:16:00,2.8,1,32.6,132.0,20
2023-05-02 07:50:00,3.1,1,38.9,141.8,80
2023-05-02 03:59:00,4.3,2,37.8,141.7,60
2023-05-02 00:24:00,4.0,1,37.8,141.8,60
2023-05-01 17:59:00,2.4,1,29.9,130.0,10
2023-05-01 17:03:00,5.4,2,26.1,128.7,10
2023-05-01 16:13:00,2.7,2,29.8,130.1,0
2023-05-01 15:38:00,2.7,1,37.5,137.3,10
2023-05-01 13:46:00,2.8,1,26.6,127.9,20
2023-05-01 13:06:00,5.0,1,25.9,128.6,10
2023-05-01 13:01:00,2.3,1,29.9,130.0,10
2023-05-01 12:59:00,4.1,1,37.7,141.6,60
2023-05-01 12:55:00,4.4,1,26.1,128.9,10
2023-05-01 12:26:00,6.2,2,26.0,128.8,10
2023-05-01 11:27:00,5.2,1,26.0,128.7,10
2023-05-01 09:03:00,4.3,2,42.0,142.4,60
2023-05-01 08:55:00,4.3,2,36.2,141.2,10
2023-05-01 07:18:00,3.4,2,34.0,134.2,50
2023-05-01 05:08:00,4.2,3,36.4,140.8,50
2023-05-01 05:07:00,4.2,0,36.4,140.8,50
2023-05-01 05:03:00,3.8,1,27.0,142.6,70
2023-05-01 01:40:00,3.3,2,27.6,128.8,10
2023-04-30 23:51:00,2.4,1,29.9,130.0,0
2023-04-30 21:25:00,4.2,1,35.6,141.0,40
2023-04-30 20:41:00,2.3,2,37.1,139.3,0
2023-04-30 18:55:00,3.7,3,35.6,137.2,0
2023-04-30 18:55:00,3.7,0,35.6,137.2,0
2023-04-30 06:27:00,2.2,2,37.1,139.4,10
2023-04-30 01:22:00,3.0,1,37.5,137.3,10
2023-04-30 00:53:00,4.5,1,26.0,128.8,10
2023-04-29 09:18:00,3.5,2,32.4,129.9,10
2023-04-29 04:57:00,3.1,1,34.0,133.9,40
2023-04-29 02:19:00,3.6,2,32.4,129.9,10
2023-04-28 16:49:00,4.1,1,42.0,142.6,70
2023-04-28 13:52:00,2.4,1,36.5,139.4,10
2023-04-28 09:42:00,3.0,3,41.5,140.2,10
2023-04-28 07:12:00,4.3,2,26.4,128.3,40
2023-04-27 22:46:00,4.2,2,37.0,141.2,50
2023-04-27 16:47:00,5.4,2,26.1,128.7,10
2023-04-27 10:43:00,3.6,1,41.6,142.0,50
2023-04-27 09:42:00,3.1,1,36.1,140.8,20
2023-04-27 04:20:00,3.5,2,36.1,140.1,50
2023-04-26 16:55:00,3.9,1,42.1,142.5,70
2023-04-26 02:53:00,4.3,2,37.7,141.7,60
2023-04-25 22:36:00,4.1,2,40.0,142.0,50
2023-04-25 22:03:00,2.9,2,34.0,135.3,10
2023-04-25 14:35:00,2.5,2,37.0,139.4,10
2023-04-25 08:34:00,2.6,1,32.3,132.2,10
2023-04-25 00:33:00,2.6,1,35.4,136.9,10
2023-04-24 17:39:00,2.7,1,32.8,130.6,0
2023-04-24 11:38:00,2.6,2,34.0,135.3,10
2023-04-24 06:37:00,4.3,2,26.4,141.9,40
2023-04-24 06:25:00,3.6,1,33.5,132.7,40
2023-04-24 01:13:00,3.5,1,36.7,141.1,50
2023-04-24 00:46:00,3.8,1,37.9,141.7,70
2023-04-23 23:48:00,1.8,1,37.0,139.3,0
2023-04-23 21:48:00,2.8,2,34.0,135.3,10
2023-04-23 12:33:00,2.7,1,34.9,134.0,10
2023-04-22 20:57:00,2.5,2,37.5,137.3,10
2023-04-22 19:45:00,2.4,2,41.8,141.2,0
2023-04-22 14:34:00,3.4,2,36.4,140.7,50
2023-04-22 10:44:00,4.2,2,37.2,141.4,20
2023-04-22 01:13:00,4.4,1,24.9,123.5,100
2023-04-21 21:46:00,3.9,1,40.3,142.5,50
2023-04-21 20:28:00,3.6,1,38.7,141.9,60
2023-04-21 17:19:00,3.2,2,35.4,136.8,10
2023-04-21 16:23:00,5.6,4,27.0,141.5,10
2023-04-21 16:22:00,5.6,0,27.0,141.5,10
2023-04-21 13:51:00,1.5,1,36.0,137.6,10
2023-04-21 03:10:00,2.5,1,35.0,135.5,10
2023-04-20 12:36:00,3.3,3,37.5,137.3,10
2023-04-20 12:35:00,3.3,0,37.5,137.3,10
2023-04-20 09:46:00,4.4,1,26.9,141.5,0
2023-04-20 02:26:00,2.8,1,34.0,135.1,10
